postal_code,town_name,council_code,council_name,region_code,region_name
1050,"København K",0101,København,1084,"Region Hovedstaden"
1051,"København K",0101,København,1084,"Region Hovedstaden"
1052,"København K",0101,København,1084,"Region Hovedstaden"
1053,"København K",0101,København,1084,"Region Hovedstaden"
1054,"København K",0101,København,1084,"Region Hovedstaden"
1055,"København K",0101,København,1084,"Region Hovedstaden"
1056,"København K",0101,København,1084,"Region Hovedstaden"
1057,"København K",0101,København,1084,"Region Hovedstaden"
1058,"København K",0101,København,1084,"Region Hovedstaden"
1059,"København K",0101,København,1084,"Region Hovedstaden"
1060,"København K",0101,København,1084,"Region Hovedstaden"
1061,"København K",0101,København,1084,"Region Hovedstaden"
1062,"København K",0101,København,1084,"Region Hovedstaden"
1063,"København K",0101,København,1084,"Region Hovedstaden"
1064,"København K",0101,København,1084,"Region Hovedstaden"
1065,"København K",0101,København,1084,"Region Hovedstaden"
1066,"København K",0101,København,1084,"Region Hovedstaden"
1067,"København K",0101,København,1084,"Region Hovedstaden"
1068,"København K",0101,København,1084,"Region Hovedstaden"
1069,"København K",0101,København,1084,"Region Hovedstaden"
1070,"København K",0101,København,1084,"Region Hovedstaden"
1071,"København K",0101,København,1084,"Region Hovedstaden"
1072,"København K",0101,København,1084,"Region Hovedstaden"
1073,"København K",0101,København,1084,"Region Hovedstaden"
1074,"København K",0101,København,1084,"Region Hovedstaden"
1100,"København K",0101,København,1084,"Region Hovedstaden"
1101,"København K",0101,København,1084,"Region Hovedstaden"
1102,"København K",0101,København,1084,"Region Hovedstaden"
1103,"København K",0101,København,1084,"Region Hovedstaden"
1104,"København K",0101,København,1084,"Region Hovedstaden"
1105,"København K",0101,København,1084,"Region Hovedstaden"
1106,"København K",0101,København,1084,"Region Hovedstaden"
1107,"København K",0101,København,1084,"Region Hovedstaden"
1110,"København K",0101,København,1084,"Region Hovedstaden"
1111,"København K",0101,København,1084,"Region Hovedstaden"
1112,"København K",0101,København,1084,"Region Hovedstaden"
1113,"København K",0101,København,1084,"Region Hovedstaden"
1114,"København K",0101,København,1084,"Region Hovedstaden"
1115,"København K",0101,København,1084,"Region Hovedstaden"
1116,"København K",0101,København,1084,"Region Hovedstaden"
1117,"København K",0101,København,1084,"Region Hovedstaden"
1118,"København K",0101,København,1084,"Region Hovedstaden"
1119,"København K",0101,København,1084,"Region Hovedstaden"
1120,"København K",0101,København,1084,"Region Hovedstaden"
1121,"København K",0101,København,1084,"Region Hovedstaden"
1122,"København K",0101,København,1084,"Region Hovedstaden"
1123,"København K",0101,København,1084,"Region Hovedstaden"
1124,"København K",0101,København,1084,"Region Hovedstaden"
1125,"København K",0101,København,1084,"Region Hovedstaden"
1126,"København K",0101,København,1084,"Region Hovedstaden"
1127,"København K",0101,København,1084,"Region Hovedstaden"
1128,"København K",0101,København,1084,"Region Hovedstaden"
1129,"København K",0101,København,1084,"Region Hovedstaden"
1130,"København K",0101,København,1084,"Region Hovedstaden"
1131,"København K",0101,København,1084,"Region Hovedstaden"
1150,"København K",0101,København,1084,"Region Hovedstaden"
1151,"København K",0101,København,1084,"Region Hovedstaden"
1152,"København K",0101,København,1084,"Region Hovedstaden"
1153,"København K",0101,København,1084,"Region Hovedstaden"
1154,"København K",0101,København,1084,"Region Hovedstaden"
1155,"København K",0101,København,1084,"Region Hovedstaden"
1156,"København K",0101,København,1084,"Region Hovedstaden"
1157,"København K",0101,København,1084,"Region Hovedstaden"
1158,"København K",0101,København,1084,"Region Hovedstaden"
1159,"København K",0101,København,1084,"Region Hovedstaden"
1160,"København K",0101,København,1084,"Region Hovedstaden"
1161,"København K",0101,København,1084,"Region Hovedstaden"
1162,"København K",0101,København,1084,"Region Hovedstaden"
1164,"København K",0101,København,1084,"Region Hovedstaden"
1165,"København K",0101,København,1084,"Region Hovedstaden"
1166,"København K",0101,København,1084,"Region Hovedstaden"
1167,"København K",0101,København,1084,"Region Hovedstaden"
1168,"København K",0101,København,1084,"Region Hovedstaden"
1169,"København K",0101,København,1084,"Region Hovedstaden"
1170,"København K",0101,København,1084,"Region Hovedstaden"
1171,"København K",0101,København,1084,"Region Hovedstaden"
1172,"København K",0101,København,1084,"Region Hovedstaden"
1173,"København K",0101,København,1084,"Region Hovedstaden"
1174,"København K",0101,København,1084,"Region Hovedstaden"
1175,"København K",0101,København,1084,"Region Hovedstaden"
1200,"København K",0101,København,1084,"Region Hovedstaden"
1201,"København K",0101,København,1084,"Region Hovedstaden"
1202,"København K",0101,København,1084,"Region Hovedstaden"
1203,"København K",0101,København,1084,"Region Hovedstaden"
1204,"København K",0101,København,1084,"Region Hovedstaden"
1205,"København K",0101,København,1084,"Region Hovedstaden"
1206,"København K",0101,København,1084,"Region Hovedstaden"
1207,"København K",0101,København,1084,"Region Hovedstaden"
1208,"København K",0101,København,1084,"Region Hovedstaden"
1209,"København K",0101,København,1084,"Region Hovedstaden"
1210,"København K",0101,København,1084,"Region Hovedstaden"
1211,"København K",0101,København,1084,"Region Hovedstaden"
1212,"København K",0101,København,1084,"Region Hovedstaden"
1213,"København K",0101,København,1084,"Region Hovedstaden"
1214,"København K",0101,København,1084,"Region Hovedstaden"
1215,"København K",0101,København,1084,"Region Hovedstaden"
1216,"København K",0101,København,1084,"Region Hovedstaden"
1218,"København K",0101,København,1084,"Region Hovedstaden"
