postal_code,town_name,council_code,council_name,region_code,region_name
1050,København,101,København,1084,Region Hovedstaden
1051,København,101,København,1084,Region Hovedstaden
1052,København,101,København,1084,Region Hovedstaden
1053,København,101,København,1084,Region Hovedstaden
1054,København,101,København,1084,Region Hovedstaden
1055,København,101,København,1084,Region Hovedstaden
1056,København,101,København,1084,Region Hovedstaden
1057,København,101,København,1084,Region Hovedstaden
1058,København,101,København,1084,Region Hovedstaden
1059,København,101,København,1084,Region Hovedstaden
1060,København,101,København,1084,Region Hovedstaden
1061,København,101,København,1084,Region Hovedstaden
1062,København,101,København,1084,Region Hovedstaden
1063,København,101,København,1084,Region Hovedstaden
1064,København,101,København,1084,Region Hovedstaden
1065,København,101,København,1084,Region Hovedstaden
1066,København,101,København,1084,Region Hovedstaden
1067,København,101,København,1084,Region Hovedstaden
1068,København,101,København,1084,Region Hovedstaden
1069,København,101,København,1084,Region Hovedstaden
1070,København,101,København,1084,Region Hovedstaden
1071,København,101,København,1084,Region Hovedstaden
1072,København,101,København,1084,Region Hovedstaden
1073,København,101,København,1084,Region Hovedstaden
1074,København,101,København,1084,Region Hovedstaden
1100,København,101,København,1084,Region Hovedstaden
1101,København,101,København,1084,Region Hovedstaden
1102,København,101,København,1084,Region Hovedstaden
1103,København,101,København,1084,Region Hovedstaden
1104,København,101,København,1084,Region Hovedstaden
1105,København,101,København,1084,Region Hovedstaden
1106,København,101,København,1084,Region Hovedstaden
1107,København,101,København,1084,Region Hovedstaden
1110,København,101,København,1084,Region Hovedstaden
1111,København,101,København,1084,Region Hovedstaden
1112,København,101,København,1084,Region Hovedstaden
1113,København,101,København,1084,Region Hovedstaden
1114,København,101,København,1084,Region Hovedstaden
1115,København,101,København,1084,Region Hovedstaden
1116,København,101,København,1084,Region Hovedstaden
1117,København,101,København,1084,Region Hovedstaden
1118,København,101,København,1084,Region Hovedstaden
1119,København,101,København,1084,Region Hovedstaden
1120,København,101,København,1084,Region Hovedstaden
1121,København,101,København,1084,Region Hovedstaden
1122,København,101,København,1084,Region Hovedstaden
1123,København,101,København,1084,Region Hovedstaden
1124,København,101,København,1084,Region Hovedstaden
1125,København,101,København,1084,Region Hovedstaden
1126,København,101,København,1084,Region Hovedstaden
1127,København,101,København,1084,Region Hovedstaden
1128,København,101,København,1084,Region Hovedstaden
1129,København,101,København,1084,Region Hovedstaden
1130,København,101,København,1084,Region Hovedstaden
1131,København,101,København,1084,Region Hovedstaden
1150,København,101,København,1084,Region Hovedstaden
1151,København,101,København,1084,Region Hovedstaden
1152,København,101,København,1084,Region Hovedstaden
1153,København,101,København,1084,Region Hovedstaden
1154,København,101,København,1084,Region Hovedstaden
1155,København,101,København,1084,Region Hovedstaden
1156,København,101,København,1084,Region Hovedstaden
1157,København,101,København,1084,Region Hovedstaden
1158,København,101,København,1084,Region Hovedstaden
1159,København,101,København,1084,Region Hovedstaden
1160,København,101,København,1084,Region Hovedstaden
1161,København,101,København,1084,Region Hovedstaden
1162,København,101,København,1084,Region Hovedstaden
1164,København,101,København,1084,Region Hovedstaden
1165,København,101,København,1084,Region Hovedstaden
1166,København,101,København,1084,Region Hovedstaden
1167,København,101,København,1084,Region Hovedstaden
1168,København,101,København,1084,Region Hovedstaden
1169,København,101,København,1084,Region Hovedstaden
1170,København,101,København,1084,Region Hovedstaden
1171,København,101,København,1084,Region Hovedstaden
1172,København,101,København,1084,Region Hovedstaden
1173,København,101,København,1084,Region Hovedstaden
1174,København,101,København,1084,Region Hovedstaden
1175,København,101,København,1084,Region Hovedstaden
1200,København,101,København,1084,Region Hovedstaden
1201,København,101,København,1084,Region Hovedstaden
1202,København,101,København,1084,Region Hovedstaden
1203,København,101,København,1084,Region Hovedstaden
1204,København,101,København,1084,Region Hovedstaden
1205,København,101,København,1084,Region Hovedstaden
1206,København,101,København,1084,Region Hovedstaden
1207,København,101,København,1084,Region Hovedstaden
1208,København,101,København,1084,Region Hovedstaden
1209,København,101,København,1084,Region Hovedstaden
1210,København,101,København,1084,Region Hovedstaden
1211,København,101,København,1084,Region Hovedstaden
1212,København,101,København,1084,Region Hovedstaden
1213,København,101,København,1084,Region Hovedstaden
1214,København,101,København,1084,Region Hovedstaden
1215,København,101,København,1084,Region Hovedstaden
1216,København,101,København,1084,Region Hovedstaden
1218,København,101,København,1084,Region Hovedstaden
1219,København,101,København,1084,Region Hovedstaden
1220,København,101,København,1084,Region Hovedstaden
1221,København,101,København,1084,Region Hovedstaden
1250,København,101,København,1084,Region Hovedstaden
1251,København,101,København,1084,Region Hovedstaden
1252,København,101,København,1084,Region Hovedstaden
1253,København,101,København,1084,Region Hovedstaden
1254,København,101,København,1084,Region Hovedstaden
1255,København,101,København,1084,Region Hovedstaden
1256,København,101,København,1084,Region Hovedstaden
1257,København,101,København,1084,Region Hovedstaden
1259,København,101,København,1084,Region Hovedstaden
1260,København,101,København,1084,Region Hovedstaden
1261,København,101,København,1084,Region Hovedstaden
1263,København,101,København,1084,Region Hovedstaden
1264,København,101,København,1084,Region Hovedstaden
1265,København,101,København,1084,Region Hovedstaden
1266,København,101,København,1084,Region Hovedstaden
1267,København,101,København,1084,Region Hovedstaden
1268,København,101,København,1084,Region Hovedstaden
1270,København,101,København,1084,Region Hovedstaden
1271,København,101,København,1084,Region Hovedstaden
1300,København,101,København,1084,Region Hovedstaden
1301,København,101,København,1084,Region Hovedstaden
1302,København,101,København,1084,Region Hovedstaden
1303,København,101,København,1084,Region Hovedstaden
1304,København,101,København,1084,Region Hovedstaden
1306,København,101,København,1084,Region Hovedstaden
1307,København,101,København,1084,Region Hovedstaden
1308,København,101,København,1084,Region Hovedstaden
1309,København,101,København,1084,Region Hovedstaden
1310,København,101,København,1084,Region Hovedstaden
1311,København,101,København,1084,Region Hovedstaden
1312,København,101,København,1084,Region Hovedstaden
1313,København,101,København,1084,Region Hovedstaden
1314,København,101,København,1084,Region Hovedstaden
1315,København,101,København,1084,Region Hovedstaden
1316,København,101,København,1084,Region Hovedstaden
1317,København,101,København,1084,Region Hovedstaden
1318,København,101,København,1084,Region Hovedstaden
1319,København,101,København,1084,Region Hovedstaden
1320,København,101,København,1084,Region Hovedstaden
1321,København,101,København,1084,Region Hovedstaden
1322,København,101,København,1084,Region Hovedstaden
1323,København,101,København,1084,Region Hovedstaden
1324,København,101,København,1084,Region Hovedstaden
1325,København,101,København,1084,Region Hovedstaden
1326,København,101,København,1084,Region Hovedstaden
1327,København,101,København,1084,Region Hovedstaden
1328,København,101,København,1084,Region Hovedstaden
1329,København,101,København,1084,Region Hovedstaden
1350,København,101,København,1084,Region Hovedstaden
1352,København,101,København,1084,Region Hovedstaden
1353,København,101,København,1084,Region Hovedstaden
1354,København,101,København,1084,Region Hovedstaden
1355,København,101,København,1084,Region Hovedstaden
1356,København,101,København,1084,Region Hovedstaden
