post_title,town_name,postal_code,council_code,council_name,region_code,region_name
"Havdrup, 4622 Havdrup",Havdrup,4622,0265,Roskilde,1085,"Region Sjælland"
"Solrød, 2680 Solrød Strand",Solrød,2680,0269,Solrød,1085,"Region Sjælland"
"Solrød, 4622 Havdrup",Solrød,4622,0265,Roskilde,1085,"Region Sjælland"
"Kongsh Mølle, 5871 Frørup","Kongsh Mølle",5871,0450,Nyborg,1083,"Region Syddanmark"
"Aunslev, 5800 Nyborg",Aunslev,5800,0450,Nyborg,1083,"Region Syddanmark"
"Måre, 5853 Ørbæk",Måre,5853,0430,Faaborg-Midtfyn,1083,"Region Syddanmark"
"Tårup Strand, 5871 Frørup","Tårup Strand",5871,0450,Nyborg,1083,"Region Syddanmark"
"Strandskov, 5800 Nyborg",Strandskov,5800,0450,Nyborg,1083,"Region Syddanmark"
"Rosilde, 5800 Nyborg",Rosilde,5800,0450,Nyborg,1083,"Region Syddanmark"
"Såderup, 5540 Ullerslev",Såderup,5540,0440,Kerteminde,1083,"Region Syddanmark"
"Såderup, 5853 Ørbæk",Såderup,5853,0430,Faaborg-Midtfyn,1083,"Region Syddanmark"
"Slude, 5871 Frørup",Slude,5871,0450,Nyborg,1083,"Region Syddanmark"
"Visby, 5540 Ullerslev",Visby,5540,0440,Kerteminde,1083,"Region Syddanmark"
"Kullerup, 5853 Ørbæk",Kullerup,5853,0430,Faaborg-Midtfyn,1083,"Region Syddanmark"
"Knudshoved, 5800 Nyborg",Knudshoved,5800,0450,Nyborg,1083,"Region Syddanmark"
"Nørrehede, 6230 Rødekro",Nørrehede,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Skedebjerg, 6200 Aabenraa",Skedebjerg,6200,0580,Aabenraa,1083,"Region Syddanmark"
"Frestrup Mark, 6360 Tinglev","Frestrup Mark",6360,0580,Aabenraa,1083,"Region Syddanmark"
"Vollerup, 6392 Bolderslev",Vollerup,6392,0580,Aabenraa,1083,"Region Syddanmark"
"Nr Ønlev, 6230 Rødekro","Nr Ønlev",6230,0580,Aabenraa,1083,"Region Syddanmark"
"Hostrupskov, 6200 Aabenraa",Hostrupskov,6200,0580,Aabenraa,1083,"Region Syddanmark"
"Nykro, 6230 Rødekro",Nykro,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Sdr Ønlev, 6230 Rødekro","Sdr Ønlev",6230,0580,Aabenraa,1083,"Region Syddanmark"
"Heds, 6360 Tinglev",Heds,6360,0580,Aabenraa,1083,"Region Syddanmark"
"Uge Mark, 6360 Tinglev","Uge Mark",6360,0580,Aabenraa,1083,"Region Syddanmark"
"Bylderup, 6372 Bylderup-Bov",Bylderup,6372,0580,Aabenraa,1083,"Region Syddanmark"
"Søst, 6230 Rødekro",Søst,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Gårdeby Mark, 6360 Tinglev","Gårdeby Mark",6360,0580,Aabenraa,1083,"Region Syddanmark"
"Nybølmark, 6230 Rødekro",Nybølmark,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Raved, 6392 Bolderslev",Raved,6392,0580,Aabenraa,1083,"Region Syddanmark"
"Aabæk, 6200 Aabenraa",Aabæk,6200,0580,Aabenraa,1083,"Region Syddanmark"
"Stenhøj, 6230 Rødekro",Stenhøj,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Eggebæk Mark, 6360 Tinglev","Eggebæk Mark",6360,0580,Aabenraa,1083,"Region Syddanmark"
"Hønsnap, 6340 Kruså",Hønsnap,6340,0580,Aabenraa,1083,"Region Syddanmark"
"Røllum, 6200 Aabenraa",Røllum,6200,0580,Aabenraa,1083,"Region Syddanmark"
"Lønholm, 6230 Rødekro",Lønholm,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Kollund Kro, 6340 Kruså","Kollund Kro",6340,0580,Aabenraa,1083,"Region Syddanmark"
"Svejlund, 6230 Rødekro",Svejlund,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Sindetholm, 6534 Agerskov",Sindetholm,6534,0510,Haderslev,1083,"Region Syddanmark"
"Stampenborg, 6230 Rødekro",Stampenborg,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Kogager, 6230 Rødekro",Kogager,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Smedeby, 6340 Kruså",Smedeby,6340,0580,Aabenraa,1083,"Region Syddanmark"
"Genner, 6230 Rødekro",Genner,6230,0580,Aabenraa,1083,"Region Syddanmark"
"Tumbøl, 6200 Aabenraa",Tumbøl,6200,0580,Aabenraa,1083,"Region Syddanmark"
"Styrtom, 6200 Aabenraa",Styrtom,6200,0580,Aabenraa,1083,"Region Syddanmark"
"Havebakkegård, 8670 Låsby",Havebakkegård,8670,0746,Skanderborg,1082,"Region Midtjylland"
"Gl. Rye, 8680 Ry","Gl. Rye",8680,0615,Horsens,1082,"Region Midtjylland"
"Brørup, 8660 Skanderborg",Brørup,8660,0615,Horsens,1082,"Region Midtjylland"
"Hem, 8660 Skanderborg",Hem,8660,0615,Horsens,1082,"Region Midtjylland"
"Ejer, 8660 Skanderborg",Ejer,8660,0615,Horsens,1082,"Region Midtjylland"
"Nygaarde, 8680 Ry",Nygaarde,8680,0615,Horsens,1082,"Region Midtjylland"
"Bjedstrup, 8660 Skanderborg",Bjedstrup,8660,0615,Horsens,1082,"Region Midtjylland"
"Hf Wenezuela, 8660 Skanderborg","Hf Wenezuela",8660,0615,Horsens,1082,"Region Midtjylland"
"Ersholt, 8670 Låsby",Ersholt,8670,0746,Skanderborg,1082,"Region Midtjylland"
